temperature	xi	ar_xviii	wavelength	opacity
0.524608492851	4.90763044357	ar_xviii	3.7311	1.79981e-13	
0.524608492851	4.94779109955	ar_xviii	3.7311	1.71389e-13	
0.524608492851	4.98795175552	ar_xviii	3.7311	1.62498e-13	
0.524608492851	5.0281124115	ar_xviii	3.7311	1.53498e-13	
0.524608492851	5.06827306747	ar_xviii	3.7311	1.44424e-13	
0.524608492851	5.10843372345	ar_xviii	3.7311	1.35432e-13	
0.524608492851	5.14859437943	ar_xviii	3.7311	1.26572e-13	
0.524608492851	5.1887550354	ar_xviii	3.7311	1.18e-13	
0.524608492851	5.22891569138	ar_xviii	3.7311	1.09733e-13	
0.524608492851	5.26907634735	ar_xviii	3.7311	1.01809e-13	
0.524608492851	5.30923700333	ar_xviii	3.7311	9.42587e-14	
0.524608492851	5.3493976593	ar_xviii	3.7311	8.70999e-14	
0.524608492851	5.38955831528	ar_xviii	3.7311	8.03402e-14	
0.524608492851	5.42971897125	ar_xviii	3.7311	7.39851e-14	
0.524608492851	5.46987962723	ar_xviii	3.7311	6.80319e-14	
0.524608492851	5.5100402832	ar_xviii	3.7311	6.24664e-14	
0.524608492851	5.55020093918	ar_xviii	3.7311	5.72793e-14	
